Exporters,Importers,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016
Germany,Greenland,3693,6212,6495,7701,12969
Germany,Gambia,11956,12797,11987,11501,11688
Germany,Central African Republic,3485,4339,1845,8677,10813
Germany,Aruba,12480,9742,14314,9818,10790
Germany,Guyana,13175,14367,14483,6245,10446
Germany,Swaziland,6296,5156,9554,13579,9951
Germany,Fiji,49900,7193,11623,11497,8506
Germany,"Korea, Democratic People's Republic of",16594,29933,18398,13251,8172
Germany,Burundi,12671,20552,22287,19500,8124
Germany,Cabo Verde,19345,9430,13890,10851,6869
Germany,Saint Kitts and Nevis,6681,24216,93358,72652,6475
Germany,Lesotho,1849,2022,8604,3027,5903
Germany,United States Minor Outlying Islands,8356,66339,8420,5642,5813
Germany,French South Antarctic Territories,43432,7411,5616,3883,4347
Germany,Anguilla,6128,818,7669,43,4067
Germany,Saint Lucia,3337,5947,4201,7981,3542
Germany,Guinea-Bissau,6680,1790,2281,3379,2826
Germany,Saint Vincent and the Grenadines,1587,1936,1958,3405,2480
Germany,Grenada,2563,3567,3280,1453,1989
Germany,Comoros,1841,4456,3879,1454,1453
Germany,Dominica,1057,1578,888,1239,1211
Germany,Turks and Caicos Islands,696,1109,1884,1586,1142
Germany,Samoa,427,292,883,1487,973
Germany,Vanuatu,278,381,887,453,839
Germany,Timor-Leste,557,751,189,148,824
Germany,Tonga,445,454,2464,32,786
Germany,Solomon Islands,139,425,1061,558,674
Germany,Sao Tome and Principe,557,742,1836,964,578
Germany,Falkland Islands (Malvinas),32,348,181,4010,397
Germany,Northern Mariana Islands,5724,1132,1263,137,302
Germany,St. Pierre and Miquelon,139,510,641,634,297
Germany,Western Sahara,0,0,99,267,286
Germany,Palau,418,47,52,44,282
Germany,Wallis and Futuna Islands,163,268,154,147,166
Germany,Cook Islands,481,593,104,2539,114
Germany,Norfolk Island,147,102,139,147,113
Germany,Kiribati,139,43,140,39,102
Germany,Tuvalu,0,0,0,2,92
Germany,"Micronesia, Federated States of",50,1,156,225,86
Germany,Tokelau,264,129,722,28,68
Germany,Pitcairn,39,11,97,109,59
Germany,Montserrat,576,213,98,314,44
Germany,Nauru,58,2,3,0,43
Germany,Saint Helena,66,46,0,8,19
Germany,Christmas Islands,0,0,0,0,7
Germany,British Indian Ocean Territories,0,1644,8,5,2
Germany,Special categories,1285472,346974,128869,290,0
Germany,Mayotte,5217,5163,3878,0,0
Japan,World,798620023,715097244,690217466,624873508,645158530
Japan,USA,142084775,134539553,130773312,126387232,130473548
Japan,China,144184828,129401394,126361386,109277767,113910471
Japan,"Korea, Republic of",61527648,56513453,51520343,44018768,46255225
Japan,"Taipei, Chinese",46017248,41612716,39959020,36960994,39364375
Japan,"Hong Kong, China",41043558,37418392,38143173,35006278,33645291
Japan,Thailand,43708015,35945979,31349004,27984356,27423944
Japan,Singapore,23293917,20980350,21012895,19855331,19810309
Japan,Germany,20795608,18959230,19054719,16236971,17661617
Japan,Australia,18425372,16969964,14176009,12849844,14176427
Japan,UK,13337751,11105603,11183006,10740097,13737056
Japan,Viet Nam,10740220,10550081,11830166,12531383,13018447
Japan,Malaysia,17698501,15240101,14133080,12003889,12139392
Japan,Netherlands,16156428,13908384,13049119,11598497,11813721
Japan,Indonesia,20278614,17031562,14735348,11538966,11339177
Japan,Mexico,10572160,9691273,10634809,10475126,10685830
Japan,Philippines,11848538,9680641,9877925,9487706,10362501
Japan,India,10590546,8593032,8130224,8109855,8193631
Japan,Canada,10259056,8689711,7986542,7735540,8181848
Japan,United Arab Emirates,8964398,8507588,9533461,8694615,7990327
Japan,France,6700046,6304548,5945717,5260895,6272594
Japan,Belgium,6270002,5294131,5541324,5120956,5713751
Japan,Panama,14198468,9665174,7009390,4713322,5642715
Japan,Russian Federation,12591435,10957793,9177180,5104332,5123653
Japan,Saudi Arabia,8228300,6847345,7600955,6826057,5014016
Japan,Italy,3660248,3272318,3514047,3594211,4688571
Japan,Switzerland,4376144,3312442,3029099,2700171,3148022
Japan,Spain,2440798,2094074,2303088,2384262,2863793
Japan,Turkey,2413735,2315154,2123946,2161724,2853239
Japan,Brazil,5925732,5659958,4724517,3930772,2793993
Japan,Oman,3581810,3126864,3529130,3220258,2539701
Japan,South Africa,4062061,3462935,3239560,2689898,2233637
Japan,New Zealand,1959535,2190629,2369187,2110736,2199713
Japan,Israel,1429837,1105828,1105136,1169127,2002287
Japan,Pakistan,1691291,1423767,1612716,1675652,1935126
Japan,Kuwait,1881244,1881423,1901722,1865263,1697497
Japan,Poland,1708231,1608920,1711787,1653559,1696589
Japan,Bangladesh,985122,873587,1164494,1374424,1578643
Japan,Chile,1991963,1699240,1709372,1671692,1566073
Japan,Qatar,1503704,1309563,1551146,1545812,1533923
Japan,Hungary,1371689,1319215,1259337,1446682,1459190
Japan,Marshall Islands,1696982,827500,1184232,1610725,1449397
Japan,Sweden,1741259,1262126,1347295,1337431,1443508
Japan,Czech Republic,1615270,1430563,1127416,1061935,1236233
Japan,Egypt,1753061,1208816,1424215,1284357,1143473
Japan,Liberia,2298345,1751088,1046275,863914,1090840
Japan,Myanmar,1257170,1057427,1188812,1065433,1033849
Japan,Austria,952971,925361,925226,1033791,1020622
Japan,Bahamas,240588,585470,1265408,1009249,994568
Japan,Norway,1230410,1166343,1259260,956581,988046
Japan,Colombia,1503180,1227977,1371229,965876,949085
Japan,Ireland,882362,1044923,1664179,1106007,757785
Japan,Kenya,658614,914188,953460,926263,747034
Japan,Bahrain,808107,762003,855788,886969,743574
Japan,Peru,1037979,989030,747680,790782,719899
Japan,Sri Lanka,452733,582526,907917,1169030,697651
Japan,Jordan,281668,298517,490166,578350,634027
Japan,Argentina,1135087,1111731,1056607,799349,631873
Japan,"Iran, Islamic Republic of",652637,168024,251014,287376,584215
Japan,Lebanon,227096,274463,364292,470297,564309
Japan,Malta,528075,173618,59490,362762,482639
Japan,Denmark,403587,353714,434932,425199,417859
Japan,Turkmenistan,121509,55423,59777,26824,406069
Japan,Romania,366369,310080,334004,326321,388223
Japan,Portugal,345235,338489,370065,381488,366282
Japan,Finland,669526,527117,452298,357742,365119
Japan,Luxembourg,255353,145147,201451,448006,358519
Japan,Iraq,358551,735572,578771,503804,342994
Japan,Morocco,404435,184454,235575,259279,337508
Japan,Nigeria,625231,647702,722157,358830,326141
Japan,Costa Rica,953776,795926,488487,308524,322587
Japan,Ukraine,570903,573120,338419,205879,313088
